Gene,Score_gda,EI_gda,ensembl
SATB1,0.3,1.0,ENSG00000182568
ATXN1,0.01,1.0,ENSG00000124788
ATXN2,0.1,1.0,ENSG00000204842
SERPINB3,0.01,1.0,ENSG00000057149
SERPINB4,0.01,1.0,ENSG00000206073
SCD,0.01,1.0,ENSG00000099194
BGN,0.01,1.0,ENSG00000182492
SCT,0.02,1.0,ENSG00000070031
CCL2,0.05,1.0,ENSG00000108691
CCL4,0.01,1.0,ENSG00000275302
CCL5,0.04,1.0,ENSG00000271503
CCL18,0.01,1.0,ENSG00000275385
CCL19,0.02,1.0,ENSG00000172724
CCL20,0.01,1.0,ENSG00000115009
CCL21,0.01,1.0,ENSG00000137077
CXCL5,0.02,1.0,ENSG00000163735
BIK,0.01,1.0,ENSG00000100290
SRR,0.3,1.0,ENSG00000167720
SDC2,0.03,1.0,ENSG00000169439
SDCBP,0.01,1.0,ENSG00000137575
CXCL12,0.01,1.0,ENSG00000107562
HEATR6,0.01,1.0,ENSG00000068097
NSUN3,0.01,1.0,ENSG00000178694
PRDM1,0.01,1.0,ENSG00000057657
KIF13A,0.01,1.0,ENSG00000137177
PRDM16,0.02,1.0,ENSG00000142611
SELP,0.02,1.0,ENSG00000174175
PERP,0.01,1.0,ENSG00000112378
CDH23,0.01,1.0,ENSG00000107736
VSIR,0.01,1.0,ENSG00000107738
SELENOP,0.01,1.0,ENSG00000250722
NCAPG,0.01,1.0,ENSG00000109805
MAP2K4,0.01,1.0,ENSG00000065559
SET,0.01,1.0,ENSG00000119335
SFRP1,0.02,1.0,ENSG00000104332
SRSF1,0.02,1.0,ENSG00000136450
SRSF2,0.01,1.0,ENSG00000161547
NSD1,0.01,1.0,ENSG00000165671
SFTPB,0.05,1.0,ENSG00000168878
SFTPC,0.34,0.8,ENSG00000168484
SFTPD,0.01,1.0,ENSG00000133661
ATG3,0.01,1.0,ENSG00000144848
INF2,0.01,1.0,ENSG00000203485
SGK1,0.01,1.0,ENSG00000118515
SGTA,0.01,1.0,ENSG00000104969
CPEB1,0.01,1.0,ENSG00000214575
GORASP1,0.03,1.0,ENSG00000114745
SHMT1,0.33,1.0,ENSG00000176974
SMYD3,0.01,1.0,ENSG00000185420
FNDC3B,0.01,1.0,ENSG00000075420
SIAH2,0.01,1.0,ENSG00000181788
DEPTOR,0.01,1.0,ENSG00000155792
BMI1,0.07,1.0,ENSG00000168283
P2RY12,0.01,1.0,ENSG00000169313
GNPNAT1,0.3,1.0,ENSG00000100522
CDCP1,0.03,1.0,ENSG00000163814
SIX1,0.01,1.0,ENSG00000126778
MRPS5,0.3,1.0,ENSG00000144029
SKI,0.01,1.0,ENSG00000157933
MRPL41,0.01,1.0,ENSG00000182154
BMP2,0.01,1.0,ENSG00000125845
SKP1,0.01,1.0,ENSG00000113558
PINK1,0.01,1.0,ENSG00000158828
SKP2,0.02,1.0,ENSG00000145604
RTN4R,0.01,1.0,ENSG00000040608
SLC1A5,0.01,1.0,ENSG00000105281
MARCKSL1,0.02,1.0,ENSG00000175130
WNK1,0.34,1.0,ENSG00000060237
SLC2A1,0.1,1.0,ENSG00000117394
SLC2A3,0.01,1.0,ENSG00000059804
BMP4,0.01,1.0,ENSG00000125378
SLC3A2,0.01,1.0,ENSG00000168003
CASTOR1,0.01,1.0,ENSG00000239282
SFTPA1,0.04,1.0,ENSG00000122852
ACTR3C,0.02,1.0,ENSG00000106526
SLC11A1,0.01,1.0,ENSG00000018280
SLC12A2,0.01,1.0,ENSG00000064651
SLC15A2,0.3,1.0,ENSG00000163406
SLC16A1,0.01,1.0,ENSG00000155380
SLC19A1,0.3,1.0,ENSG00000173638
SLIT3,0.01,1.0,ENSG00000184347
SNAI2,0.01,1.0,ENSG00000019549
SMARCA1,0.02,1.0,ENSG00000102038
SMARCA2,0.02,1.0,ENSG00000080503
SMARCA4,0.04,1.0,ENSG00000127616
STK33,0.02,1.0,ENSG00000130413
SMARCC1,0.3,1.0,ENSG00000173473
LYNX1,0.01,1.0,ENSG00000180155
SMARCD1,0.01,1.0,ENSG00000066117
SNAI1,0.03,1.0,ENSG00000124216
SNCA,0.02,1.0,ENSG00000145335
SNRPG,0.3,1.0,ENSG00000143977
SOAT1,0.02,1.0,ENSG00000057252
SOD1,0.01,1.0,ENSG00000142168
SOD2,0.33,1.0,ENSG00000112096
SOS1,0.41,1.0,ENSG00000115904
SOX2,0.37,1.0,ENSG00000181449
SOX4,0.02,1.0,ENSG00000124766
BOK,0.01,1.0,ENSG00000176720
SOX5,0.03,1.0,ENSG00000134532
SOX9,0.03,1.0,ENSG00000125398
SOX10,0.01,1.0,ENSG00000100146
SP1,0.02,1.0,ENSG00000185591
SPAG4,0.01,1.0,ENSG00000061656
SPARC,0.01,1.0,ENSG00000113140
SPG7,0.01,1.0,ENSG00000197912
SPOCK1,0.01,1.0,ENSG00000152377
SPP1,0.1,1.0,ENSG00000118785
BPI,0.01,1.0,ENSG00000101425
SPTBN1,0.01,1.0,ENSG00000115306
SRC,0.03,1.0,ENSG00000197122
BRCA1,0.05,1.0,ENSG00000012048
SRF,0.02,1.0,ENSG00000112658
SRM,0.3,1.0,ENSG00000116649
BRAF,0.7,1.0,ENSG00000157764
SRPK1,0.01,1.0,ENSG00000096063
SRPK2,0.01,1.0,ENSG00000135250
BRCA2,0.13,1.0,ENSG00000139618
STAT1,0.05,1.0,ENSG00000115415
STAT2,0.01,1.0,ENSG00000170581
STAT3,0.1,1.0,ENSG00000168610
STAT5A,0.01,1.0,ENSG00000126561
STAT5B,0.01,1.0,ENSG00000173757
STAT6,0.02,1.0,ENSG00000166888
STC1,0.01,1.0,ENSG00000159167
AURKA,0.05,1.0,ENSG00000087586
STK11,0.7,1.0,ENSG00000118046
BSG,0.03,1.0,ENSG00000172270
VAMP2,0.01,1.0,ENSG00000220205
SYK,0.02,1.0,ENSG00000165025
SYT1,0.03,1.0,ENSG00000067715
ADAM17,0.05,1.0,ENSG00000151694
TAGLN,0.02,1.0,ENSG00000149591
KLF5,0.31,1.0,ENSG00000102554
TAZ,0.03,1.0,ENSG00000102125
TBX2,0.01,1.0,ENSG00000121068
TBX5,0.01,1.0,ENSG00000089225
TCF4,0.01,1.0,ENSG00000196628
HNF1B,0.1,1.0,ENSG00000275410
ZEB1,0.09,1.0,ENSG00000148516
TCF19,0.11,1.0,ENSG00000137310
TCF21,0.01,1.0,ENSG00000118526
TEAD4,0.01,1.0,ENSG00000197905
TERT,0.1,1.0,ENSG00000164362
TF,0.3,1.0,ENSG00000091513
TFAM,0.01,1.0,ENSG00000108064
TFAP2C,0.01,1.0,ENSG00000087510
TFDP1,0.01,1.0,ENSG00000198176
TFDP2,0.01,1.0,ENSG00000114126
TFF3,0.01,1.0,ENSG00000160180
TFRC,0.03,1.0,ENSG00000072274
TGFA,0.04,1.0,ENSG00000163235
TGFB1,0.1,0.9470000000000001,ENSG00000105329
TGFBI,0.01,1.0,ENSG00000120708
TGFBR2,0.05,1.0,ENSG00000163513
THBS1,0.02,1.0,ENSG00000137801
THBS2,0.01,1.0,ENSG00000186340
THY1,0.01,1.0,ENSG00000154096
KLF10,0.01,1.0,ENSG00000155090
TIAM1,0.02,1.0,ENSG00000156299
TIMP1,0.04,1.0,ENSG00000102265
TIMP2,0.02,1.0,ENSG00000035862
NKX2-1,0.1,0.965,ENSG00000136352
TJP1,0.01,1.0,ENSG00000104067
TK1,0.31,1.0,ENSG00000167900
TLE1,0.02,1.0,ENSG00000196781
TLR4,0.02,1.0,ENSG00000136869
TM7SF2,0.01,1.0,ENSG00000149809
CLDN5,0.01,1.0,ENSG00000184113
TNF,0.1,1.0,ENSG00000232810
TNFRSF1A,0.01,1.0,ENSG00000067182
TNXB,0.1,1.0,ENSG00000168477
TOP2A,0.32,1.0,ENSG00000131747
TOP2B,0.01,1.0,ENSG00000077097
TOP3A,0.01,1.0,ENSG00000177302
TP53,0.4,0.991,ENSG00000141510
TP53BP1,0.01,1.0,ENSG00000067369
TPI1,0.31,1.0,ENSG00000111669
C2,0.1,1.0,ENSG00000166278
TPM3,0.01,1.0,ENSG00000143549
TPT1,0.03,1.0,ENSG00000133112
TRAF2,0.01,1.0,ENSG00000127191
TRAF6,0.02,1.0,ENSG00000175104
TRPC3,0.01,1.0,ENSG00000138741
TSC1,0.02,1.0,ENSG00000165699
TSC2,0.02,1.0,ENSG00000103197
TSG101,0.01,1.0,ENSG00000074319
PHLDA2,0.01,1.0,ENSG00000181649
TTF1,0.4,1.0,ENSG00000125482
TTK,0.01,1.0,ENSG00000112742
MUC5B,0.02,1.0,ENSG00000117983
SFTPA2,0.03,1.0,ENSG00000185303
TYMS,0.4,0.882,ENSG00000176890
U2AF1,0.13,1.0,ENSG00000160201
UBE2I,0.03,1.0,ENSG00000103275
UBE2V1,0.01,1.0,ENSG00000244687
SUMO1,0.02,1.0,ENSG00000116030
UCHL1,0.01,1.0,ENSG00000154277
SCGB1A1,0.02,1.0,ENSG00000149021
UGT8,0.01,1.0,ENSG00000174607
UCK2,0.3,1.0,ENSG00000143179
USP4,0.02,1.0,ENSG00000114316
USF2,0.01,1.0,ENSG00000105698
UVRAG,0.02,1.0,ENSG00000198382
VAV1,0.3,1.0,ENSG00000141968
VCAM1,0.01,1.0,ENSG00000162692
VCP,0.01,1.0,ENSG00000165280
VDAC1,0.01,1.0,ENSG00000213585
VDR,0.01,1.0,ENSG00000111424
VEGFA,0.1,0.9229999999999999,ENSG00000112715
VEGFC,0.04,1.0,ENSG00000150630
VGF,0.01,1.0,ENSG00000128564
VHL,0.01,1.0,ENSG00000134086
EZR,0.04,1.0,ENSG00000092820
VIM,0.09,1.0,ENSG00000026025
VIPR1,0.02,1.0,ENSG00000114812
VWF,0.01,1.0,ENSG00000110799
EIF4H,0.01,1.0,ENSG00000106682
WEE1,0.01,1.0,ENSG00000166483
WNT7A,0.01,1.0,ENSG00000154764
WRN,0.01,1.0,ENSG00000165392
XBP1,0.01,1.0,ENSG00000100219
XK,0.01,1.0,ENSG00000047597
XPA,0.01,1.0,ENSG00000136936
XPC,0.32,1.0,ENSG00000154767
XRCC1,0.04,0.75,ENSG00000073050
XRCC5,0.36,1.0,ENSG00000079246
YY1,0.01,1.0,ENSG00000100811
YWHAB,0.01,1.0,ENSG00000166913
YWHAE,0.01,1.0,ENSG00000108953
YWHAG,0.01,1.0,ENSG00000170027
YWHAZ,0.03,1.0,ENSG00000164924
ZFP36,0.02,1.0,ENSG00000128016
CA8,0.01,1.0,ENSG00000178538
CA11,0.01,1.0,ENSG00000063180
TRIM25,0.01,1.0,ENSG00000121060
CA12,0.01,1.0,ENSG00000074410
ZNF185,0.01,1.0,ENSG00000147394
CACNA1C,0.01,1.0,ENSG00000151067
PRDM2,0.01,1.0,ENSG00000116731
DDR1,0.02,1.0,ENSG00000204580
IL1R2,0.01,1.0,ENSG00000115590
CXCR4,0.03,1.0,ENSG00000121966
CUEDC2,0.01,1.0,ENSG00000107874
AHNAK,0.01,1.0,ENSG00000124942
WDR77,0.02,1.0,ENSG00000116455
FA2H,0.01,1.0,ENSG00000103089
FSD1,0.01,1.0,ENSG00000105255
BHLHE41,0.02,1.0,ENSG00000123095
CALB2,0.02,1.0,ENSG00000172137
TFEB,0.01,1.0,ENSG00000112561
CHPF,0.01,1.0,ENSG00000123989
MUL1,0.01,1.0,ENSG00000090432
AIMP2,0.07,1.0,ENSG00000106305
CENPU,0.02,1.0,ENSG00000151725
IPO4,0.3,1.0,ENSG00000196497
SUV39H2,0.01,1.0,ENSG00000152455
ZFHX4,0.01,1.0,ENSG00000091656
MTERF1,0.01,1.0,ENSG00000127989
MYH14,0.01,1.0,ENSG00000105357
TMC5,0.01,1.0,ENSG00000103534
ARHGEF5,0.01,1.0,ENSG00000050327
LPCAT1,0.01,1.0,ENSG00000153395
NANOG,0.02,1.0,ENSG00000111704
DHDDS,0.01,1.0,ENSG00000117682
WLS,0.02,1.0,ENSG00000116729
CTC1,0.01,1.0,ENSG00000178971
CCDC6,0.02,1.0,ENSG00000108091
WDCP,0.01,1.0,ENSG00000163026
TET1,0.02,1.0,ENSG00000138336
SLC25A16,0.01,1.0,ENSG00000122912
TRAF3IP3,0.01,1.0,ENSG00000009790
RNF39,0.1,1.0,ENSG00000204618
ADAM12,0.01,1.0,ENSG00000148848
PDCD1LG2,0.05,1.0,ENSG00000197646
FOSL1,0.02,1.0,ENSG00000175592
ITIH5,0.01,1.0,ENSG00000123243
THAP7,0.01,1.0,ENSG00000184436
COL18A1,0.02,1.0,ENSG00000182871
ZNF436,0.01,1.0,ENSG00000125945
KMT2D,0.01,1.0,ENSG00000167548
ACTN4,0.02,1.0,ENSG00000130402
WNT5B,0.01,1.0,ENSG00000111186
SLC2A10,0.1,1.0,ENSG00000197496
CLPTM1L,0.46,1.0,ENSG00000049656
CALR,0.01,1.0,ENSG00000179218
ANP32A,0.3,1.0,ENSG00000140350
CALU,0.01,1.0,ENSG00000128595
SLC7A5,0.01,1.0,ENSG00000103257
SLC38A1,0.01,1.0,ENSG00000111371
TRIM11,0.01,1.0,ENSG00000154370
NECTIN4,0.02,1.0,ENSG00000143217
DIAPH3,0.01,1.0,ENSG00000139734
CCNL2,0.01,1.0,ENSG00000221978
VMP1,0.01,1.0,ENSG00000062716
SPRY4,0.01,1.0,ENSG00000187678
MIA,0.02,1.0,ENSG00000261857
KIF18A,0.03,1.0,ENSG00000121621
NCOA3,0.02,1.0,ENSG00000124151
CANX,0.01,1.0,ENSG00000127022
CAPG,0.3,1.0,ENSG00000042493
RBM10,0.06,1.0,ENSG00000182872
NAA10,0.31,1.0,ENSG00000102030
CAPS,0.01,1.0,ENSG00000105519
EPX,0.01,1.0,ENSG00000121053
ARID1A,0.01,1.0,ENSG00000117713
CAST,0.01,1.0,ENSG00000153113
CDC7,0.01,1.0,ENSG00000097046
CASP1,0.01,1.0,ENSG00000137752
SH3BGRL3,0.01,1.0,ENSG00000142669
ABHD11,0.01,1.0,ENSG00000106077
H2BC4,0.3,1.0,ENSG00000180596
DDX59,0.01,1.0,ENSG00000118197
SOX7,0.01,1.0,ENSG00000171056
CASP3,0.1,1.0,ENSG00000164305
ZMIZ2,0.01,1.0,ENSG00000122515
SESN2,0.02,1.0,ENSG00000130766
GRWD1,0.3,1.0,ENSG00000105447
FSD1L,0.01,1.0,ENSG00000106701
ATAD3B,0.01,1.0,ENSG00000160072
USHBP1,0.1,1.0,ENSG00000130307
CDCA7,0.01,1.0,ENSG00000144354
CCDC8,0.01,1.0,ENSG00000169515
PLA2G10,0.02,1.0,ENSG00000069764
EMILIN2,0.01,1.0,ENSG00000132205
SPOP,0.02,1.0,ENSG00000121067
TAGLN2,0.01,1.0,ENSG00000158710
ULK1,0.31,1.0,ENSG00000177169
CASP8,0.04,1.0,ENSG00000064012
MINDY4,0.01,1.0,ENSG00000106125
TCHP,0.02,1.0,ENSG00000139437
STK24,0.01,1.0,ENSG00000102572
GINS4,0.01,1.0,ENSG00000147536
BRMS1L,0.01,1.0,ENSG00000100916
AKT1S1,0.01,1.0,ENSG00000204673
RECK,0.01,1.0,ENSG00000122707
CAVIN2,0.01,1.0,ENSG00000168497
ECRG4,0.01,1.0,ENSG00000119147
DOT1L,0.3,1.0,ENSG00000104885
DYRK2,0.01,1.0,ENSG00000127334
ZNF512,0.01,1.0,ENSG00000243943
CUL4B,0.01,1.0,ENSG00000158290
MCM8,0.01,1.0,ENSG00000125885
CUL3,0.01,1.0,ENSG00000036257
HOPX,0.02,1.0,ENSG00000171476
MAP1LC3A,0.01,1.0,ENSG00000101460
CAT,0.01,1.0,ENSG00000121691
TUBA1C,0.1,1.0,ENSG00000167553
SEMA7A,0.01,1.0,ENSG00000138623
LMNB2,0.01,1.0,ENSG00000176619
PHF5A,0.02,1.0,ENSG00000100410
HAVCR2,0.04,1.0,ENSG00000135077
RSPO3,0.02,1.0,ENSG00000146374
MFSD2A,0.02,1.0,ENSG00000168389
ATOH8,0.01,1.0,ENSG00000168874
PPM1D,0.01,1.0,ENSG00000170836
TNS4,0.01,1.0,ENSG00000131746
UBASH3B,0.01,1.0,ENSG00000154127
PIK3R3,0.01,1.0,ENSG00000117461
PARG,0.01,1.0,ENSG00000227345
ITGA8,0.01,1.0,ENSG00000077943
IFITM1,0.01,1.0,ENSG00000185885
TNKS1BP1,0.01,1.0,ENSG00000149115
BHLHE40,0.01,1.0,ENSG00000134107
PIAS1,0.01,1.0,ENSG00000033800
CDK10,0.01,1.0,ENSG00000185324
CAV1,0.09,1.0,ENSG00000105974
RUNX2,0.01,1.0,ENSG00000124813
RUVBL1,0.01,1.0,ENSG00000175792
RUNX1,0.01,1.0,ENSG00000159216
TP63,0.5,0.929,ENSG00000073282
RUNX3,0.06,1.0,ENSG00000020633
TNKS,0.02,1.0,ENSG00000173273
EIF3A,0.01,1.0,ENSG00000107581
EIF3F,0.01,1.0,ENSG00000175390
SLC4A4,0.3,1.0,ENSG00000080493
BECN1,0.02,1.0,ENSG00000126581
ABCC3,0.02,1.0,ENSG00000108846
MBTPS1,0.02,1.0,ENSG00000140943
EED,0.01,1.0,ENSG00000074266
TNFSF13,0.01,1.0,ENSG00000161955
TNFSF10,0.32,1.0,ENSG00000121858
ADAM9,0.03,1.0,ENSG00000168615
PABPC4,0.3,1.0,ENSG00000090621
TNFRSF6B,0.01,1.0,ENSG00000243509
RGS11,0.01,1.0,ENSG00000076344
TNFRSF10B,0.01,1.0,ENSG00000120889
SUCLG2,0.3,1.0,ENSG00000172340
IQGAP1,0.01,1.0,ENSG00000140575
NRP2,0.01,1.0,ENSG00000118257
SOCS2,0.01,1.0,ENSG00000120833
CFLAR,0.01,1.0,ENSG00000003402
PROM1,0.1,1.0,ENSG00000007062
CCK,0.03,1.0,ENSG00000187094
KAT2B,0.03,1.0,ENSG00000114166
CDK5R1,0.01,1.0,ENSG00000176749
STK19,0.1,1.0,ENSG00000204344
APLN,0.01,1.0,ENSG00000171388
ARHGEF7,0.01,1.0,ENSG00000102606
SQSTM1,0.01,1.0,ENSG00000161011
EIF2B4,0.3,1.0,ENSG00000115211
EIF2B5,0.3,1.0,ENSG00000145191
CCNA2,0.01,1.0,ENSG00000145386
CCNB1,0.01,1.0,ENSG00000134057
MBD2,0.04,1.0,ENSG00000134046
H1-10,0.2,1.0,ENSG00000184897
WNT3A,0.02,1.0,ENSG00000154342
ATG16L2,0.01,1.0,ENSG00000168010
SELENBP1,0.02,1.0,ENSG00000143416
LIMD1,0.01,1.0,ENSG00000144791
F2RL3,0.01,1.0,ENSG00000127533
HS6ST2,0.01,1.0,ENSG00000171004
SOCS3,0.02,1.0,ENSG00000184557
CEACAM21,0.01,1.0,ENSG00000007129
CCRL2,0.01,1.0,ENSG00000121797
SEMA5A,0.01,1.0,ENSG00000112902
DOK2,0.04,1.0,ENSG00000147443
GPRC5A,0.04,1.0,ENSG00000013588
NFS1,0.01,1.0,ENSG00000244005
PRC1,0.02,1.0,ENSG00000198901
PAPSS1,0.01,1.0,ENSG00000138801
CLDN1,0.05,1.0,ENSG00000163347
LDB2,0.1,1.0,ENSG00000169744
IL33,0.01,1.0,ENSG00000137033
USP14,0.02,1.0,ENSG00000101557
ACVR1B,0.11,1.0,ENSG00000135503
USP10,0.01,1.0,ENSG00000103194
USP8,0.02,1.0,ENSG00000138592
RGN,0.02,1.0,ENSG00000130988
MTA1,0.01,1.0,ENSG00000182979
SLC16A4,0.01,1.0,ENSG00000168679
SLC16A3,0.01,1.0,ENSG00000141526
PDCD5,0.02,1.0,ENSG00000105185
RCCD1,0.01,1.0,ENSG00000166965
SYNGR2,0.1,1.0,ENSG00000108639
LPAR2,0.01,1.0,ENSG00000064547
CABLES1,0.1,1.0,ENSG00000134508
OSMR,0.01,1.0,ENSG00000145623
ARHGEF2,0.01,1.0,ENSG00000116584
MARVELD3,0.01,1.0,ENSG00000140832
CD247,0.01,1.0,ENSG00000198821
DEDD,0.01,1.0,ENSG00000158796
AURKB,0.01,1.0,ENSG00000178999
MTDH,0.01,1.0,ENSG00000147649
NOLC1,0.01,1.0,ENSG00000166197
PTTG1,0.01,1.0,ENSG00000164611
NAF1,0.1,1.0,ENSG00000145414
IL32,0.01,1.0,ENSG00000008517
MSC,0.01,1.0,ENSG00000178860
DNER,0.01,1.0,ENSG00000187957
BPIFB1,0.01,1.0,ENSG00000125999
BCL7B,0.01,1.0,ENSG00000106635
COPB2,0.01,1.0,ENSG00000184432
CD9,0.01,1.0,ENSG00000010278
ADGRG1,0.01,1.0,ENSG00000205336
MARCHF9,0.01,1.0,ENSG00000139266
MS4A1,0.31,1.0,ENSG00000156738
NAPRT,0.01,1.0,ENSG00000147813
ORAI3,0.01,1.0,ENSG00000175938
KLF4,0.02,1.0,ENSG00000136826
TRIP13,0.01,1.0,ENSG00000071539
TRIP10,0.01,1.0,ENSG00000125733
TAOK2,0.01,1.0,ENSG00000149930
SLIT2,0.02,1.0,ENSG00000145147
COX5A,0.01,1.0,ENSG00000178741
CD28,0.01,1.0,ENSG00000178562
GRAP2,0.07,1.0,ENSG00000100351
SFXN1,0.3,1.0,ENSG00000164466
CD80,0.02,1.0,ENSG00000121594
ABCG2,0.04,1.0,ENSG00000118777
QKI,0.02,1.0,ENSG00000112531
AIM2,0.01,1.0,ENSG00000163568
MAP4K4,0.02,1.0,ENSG00000071054
GGPS1,0.01,1.0,ENSG00000152904
CD34,0.02,1.0,ENSG00000174059
ATG5,0.01,1.0,ENSG00000057663
NAPSA,0.1,1.0,ENSG00000131400
KIF23,0.01,1.0,ENSG00000137807
SLC4A7,0.3,1.0,ENSG00000033867
GDF15,0.04,1.0,ENSG00000130513
CD38,0.01,1.0,ENSG00000004468
BAG3,0.01,1.0,ENSG00000151929
TP53I3,0.01,1.0,ENSG00000115129
CXCL14,0.01,1.0,ENSG00000145824
CHD1L,0.01,1.0,ENSG00000131778
CCL4L2,0.01,1.0,ENSG00000276070
GABBR2,0.01,1.0,ENSG00000136928
APOBEC3B,0.32,1.0,ENSG00000179750
CD40LG,0.03,1.0,ENSG00000102245
CD44,0.1,1.0,ENSG00000026508
RIN1,0.01,1.0,ENSG00000174791
NCOR1,0.01,1.0,ENSG00000141027
NCOR2,0.01,1.0,ENSG00000196498
TRAF4,0.01,1.0,ENSG00000076604
ABCG1,0.01,1.0,ENSG00000160179
CLCA2,0.01,1.0,ENSG00000137975
MORF4L2,0.01,1.0,ENSG00000123562
SH3PXD2A,0.01,1.0,ENSG00000107957
GCC2,0.01,1.0,ENSG00000135968
CD68,0.02,1.0,ENSG00000129226
BZW1,0.01,1.0,ENSG00000082153
CD69,0.01,1.0,ENSG00000110848
ST18,0.01,1.0,ENSG00000147488
CD74,0.03,1.0,ENSG00000019582
DOCK4,0.01,1.0,ENSG00000128512
HDAC9,0.02,1.0,ENSG00000048052
CD151,0.01,1.0,ENSG00000177697
MTSS1,0.01,1.0,ENSG00000170873
KEAP1,0.4,1.0,ENSG00000079999
NUP58,0.01,1.0,ENSG00000139496
SPATA2,0.01,1.0,ENSG00000158480
CDK1,0.02,1.0,ENSG00000170312
ZEB2,0.04,1.0,ENSG00000169554
CDC20,0.03,1.0,ENSG00000117399
SUPT7L,0.01,1.0,ENSG00000119760
IQSEC1,0.01,1.0,ENSG00000144711
MFN2,0.03,1.0,ENSG00000116688
KIF14,0.01,1.0,ENSG00000118193
P2RY14,0.01,1.0,ENSG00000174944
MVP,0.03,1.0,ENSG00000013364
CDH1,0.23,1.0,ENSG00000039068
